Rank	Full Journal Title	Total Cites	Journal Impact Factor	Eigenfactor Score
389	CURRENT OPINION IN BIOTECHNOLOGY	15,326	8.083	0.02302
390	Theranostics	8,769	8.063	0.02027
391	MOVEMENT DISORDERS	26,964	8.061	0.03765
392	NPG Asia Materials	4,387	8.052	0.01109
393	ENVIRONMENTAL HEALTH PERSPECTIVES	42,165	8.049	0.03951
394	ADMINISTRATIVE SCIENCE QUARTERLY	19,327	8.024	0.00875
395	TRENDS IN PARASITOLOGY	6,640	8.02	0.0122
396	Applied Materials Today	1,608	8.013	0.00347
397	NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS	26,724	8.002	0.05158
398	JAMA Dermatology	4,578	7.995	0.02105
399	Clinical Gastroenterology and Hepatology	16,723	7.958	0.03823
400	ENVIRONMENT INTERNATIONAL	23,409	7.943	0.0314
401	Annual Review of Genomics and Human Genetics	2,537	7.914	0.00602
402	WATER RESEARCH	87,258	7.913	0.07552
403	JOURNAL OF CONTROLLED RELEASE	47,630	7.901	0.05224
404	Blood Cancer Journal	2,247	7.895	0.00906
405	PERIODONTOLOGY 2000	4,534	7.861	0.00574
406	FRONTIERS IN NEUROENDOCRINOLOGY	4,196	7.852	0.00549
407	Journal of Crohns & Colitis	7,199	7.827	0.02077
408	Gut Microbes	3,203	7.823	0.00811
409	JOURNAL OF MARKETING	24,994	7.821	0.00827
410	IEEE TRANSACTIONS ON MEDICAL IMAGING	19,545	7.816	0.02499
411	Cell Reports	39,510	7.815	0.23554
412	METABOLIC ENGINEERING	7,967	7.808	0.01612
413	ChemSusChem	24,207	7.804	0.04566
414	Redox Biology	7,192	7.793	0.01962
415	THYROID	11,972	7.786	0.02281
416	CLADISTICS	3,966	7.779	0.00432
417	JOURNAL OF OPERATIONS MANAGEMENT	10,651	7.776	0.00633
417	JOURNAL OF OPERATIONS MANAGEMENT	10,651	7.776	0.00633
417	PROGRESS IN PHOTOVOLTAICS	8,325	7.776	0.01139
420	Cochrane Database of Systematic Reviews	67,607	7.755	0.15869
421	OPHTHALMOLOGY	38,634	7.732	0.05016
