individual	tax	abundance	group
YC7	Otu96	0.0	y
R3M2	Otu96	0.0	r
R4M2	Otu96	0.0	r
Y3M2	Otu96	0.0	y
Y4M2	Otu96	0.0	y
RC1	Otu96	0.0	r
RC2	Otu96	0.0	r
RC3	Otu96	0.0	r
YQ1	Otu96	0.0	y
RQ1	Otu96	0.0	r
Y0J1	Otu96	0.003908214106138867	yj
R0J1	Otu96	0.0003951007506914263	rj
Y0J2	Otu96	0.0012013348164627365	yj
R0J2	Otu96	0.0002820813262162045	rj
YQ2	Otu96	0.0	y
RQ2	Otu96	0.0	r
YQ3	Otu96	0.0	y
RQ3	Otu96	0.0	r
Y0J3	Otu96	0.0027354435326299334	yj
R0J3	Otu96	0.0021529227557411275	rj
Y7J1	Otu96	0.005213124808341	yj
R7J1	Otu96	0.017176345231752797	rj
RGR1	Otu91	0.0	r
RGO1	Otu91	0.0	r
RYE2	Otu91	0.0	r
RWH2	Otu91	0.0	r
RYE1	Otu91	0.0	r
RBL2	Otu91	0.0	r
RGR2	Otu91	0.0	r
RGO2	Otu91	0.0	r
YYE1	Otu91	0.0	y
YWH1	Otu91	0.0	y
RWH1	Otu91	0.0	r
YBL1	Otu91	0.0	y
YGR1	Otu91	0.0	y
YGO1	Otu91	0.0	y
YYE2	Otu91	0.0	y
YWH2	Otu91	4.18997339366895e-05	y
YBL2	Otu91	0.0	y
YGR2	Otu91	0.0	y
YGO2	Otu91	0.0	y
RBL1	Otu91	0.0	r
E28	Otu91	0.0	zzs
E29	Otu91	0.0	zzd
RC4	Otu91	0.0	r
YC1	Otu91	0.0	y
YC2	Otu91	0.0	y
YC3	Otu91	0.0	y
YC4	Otu91	0.0	y
R1M1	Otu91	0.0	r
R2M1	Otu91	0.0	r
Y1M1	Otu91	0.0	y
Y2M1	Otu91	0.0	y
RC5	Otu91	0.0	r
RC6	Otu91	0.0	r
RC7	Otu91	0.0	r
YC5	Otu91	0.0	y
YC6	Otu91	0.0	y
YC7	Otu91	0.0	y
R3M2	Otu91	0.0	r
R4M2	Otu91	0.0	r
Y3M2	Otu91	0.0	y
Y4M2	Otu91	0.0	y
RC1	Otu91	0.0	r
RC2	Otu91	0.0	r
RC3	Otu91	0.0	r
YQ1	Otu91	0.0	y
RQ1	Otu91	0.0	r
Y0J1	Otu91	0.0	yj
R0J1	Otu91	0.0	rj
Y0J2	Otu91	0.0	yj
R0J2	Otu91	0.0	rj
YQ2	Otu91	0.0	y
RQ2	Otu91	0.0	r
YQ3	Otu91	0.0	y
RQ3	Otu91	0.0	r
Y0J3	Otu91	2.1709869306586776e-05	yj
R0J3	Otu91	0.00013048016701461377	rj
Y7J1	Otu91	8.761554299732773e-05	yj
R7J1	Otu91	0.0007884922749067661	rj
RGR1	Otu148	0.0	r
RGO1	Otu148	0.0	r
RYE2	Otu148	0.0	r
RWH2	Otu148	0.0	r
RYE1	Otu148	0.0	r
RBL2	Otu148	0.0	r
RGR2	Otu148	0.0	r
RGO2	Otu148	0.0	r
YYE1	Otu148	0.0	y
YWH1	Otu148	0.0	y
RWH1	Otu148	0.0	r
YBL1	Otu148	0.0	y
YGR1	Otu148	0.0	y
YGO1	Otu148	0.0	y
YYE2	Otu148	0.0	y
YWH2	Otu148	0.0	y
YBL2	Otu148	0.0	y
YGR2	Otu148	0.0	y
YGO2	Otu148	0.0	y
RBL1	Otu148	0.0	r
E28	Otu148	0.0	zzs
